,Name,Rating,Reviews,Salary,Interviews,Jobs,Benefits
1810,Nexdigm,3.4,403.0,2.5,33.0,30.0,16.0
1811,DeHaat,3.7,403.0,1.1,43.0,55.0,22.0
1812,BMC Software,4.3,402.0,3.6,19.0,97.0,82.0
1813,AT&T,4.2,402.0,3.8,28.0,2.0,60.0
1814,Craftsman Automation,3.9,402.0,2.4,10.0,,58.0
1815,RAK Ceramics,3.9,402.0,1.6,23.0,2.0,54.0
1816,Reshamandi,3.7,402.0,515.0,13.0,4.0,133.0
1817,Ess Kay Fincorp,4.0,402.0,1.3,12.0,8.0,45.0
1818,Perficient,3.7,402.0,3.1,19.0,62.0,34.0
1819,Nagarjuna Fertilizers and Chemicals,4.0,401.0,1.5,10.0,,55.0
1820,Ge T & D India,4.2,401.0,1.7,7.0,,46.0
1821,Sayaji Hotels,4.4,401.0,1.1,6.0,1.0,
1822,Baker Hughes,4.1,401.0,3.5,32.0,68.0,
1823,Mecon,3.9,400.0,1.7,31.0,,
1824,Monte Carlo,4.2,400.0,2.1,15.0,6.0,44.0
1825,Karvy DigiKonnect,3.0,400.0,2.0,6.0,,
1826,Vijai Electricals,3.6,399.0,1.6,12.0,2.0,
1827,CMC,4.2,399.0,1.1,16.0,,
1828,Radico Khaitan,4.0,399.0,1.6,17.0,,
1829,iNurture Education Solutions,2.8,399.0,1.5,27.0,34.0,39.0
1830,Super Smelters,4.0,398.0,1.7,17.0,,54.0
1831,Five-Star Business Finance,4.4,398.0,1.5,9.0,2.0,37.0
1832,Hpl Electric & Power,3.6,398.0,2.0,22.0,7.0,26.0
1833,Adarsh Credit Co-Operative Society,4.0,398.0,1.0,3.0,,53.0
1834,Karvy Data Management,3.1,398.0,2.1,1.0,,
1835,Jindal Poly Films,3.7,397.0,2.3,25.0,5.0,52.0
1836,Castrol,4.3,397.0,1.8,14.0,,
1837,Axtria,3.4,396.0,4.7,60.0,175.0,75.0
1838,Metro Group of Hospitals,3.8,396.0,1.0,10.0,132.0,4.0
1839,TSYS|Total System Services,4.3,396.0,2.3,37.0,18.0,14.0
1840,TSYS|Total System Services,4.3,396.0,2.3,37.0,18.0,14.0
1841,Vindhya Telelinks,4.1,395.0,1.7,21.0,,31.0
1842,HBL Global,4.1,395.0,467.0,5.0,,44.0
1843,Roop Polymers,4.1,395.0,1.8,17.0,,43.0
1844,Satyam Auto Components,4.0,395.0,2.3,20.0,1.0,44.0
1845,Suroj Buildcon,4.2,395.0,1.3,13.0,2.0,55.0
1846,Netmeds.com,3.5,395.0,2.1,34.0,32.0,33.0
1847,Efs Facilities Services,3.9,395.0,1.1,16.0,7.0,61.0
1848,Bajaj Capital Insurance,3.7,395.0,1.2,19.0,,45.0
1849,RenewBuy,3.8,395.0,2.1,28.0,36.0,21.0
1850,Waaree Energies,3.9,395.0,2.0,36.0,13.0,48.0
1851,CRYSTAL CROP PROTECTION,3.9,394.0,1.6,12.0,,46.0
1852,TriGeo Technologies,3.2,394.0,1.9,24.0,,39.0
1853,Toothsi,2.8,394.0,1.8,41.0,141.0,24.0
1854,Micron Electricals,4.0,393.0,2.1,20.0,,30.0
1855,URC Construction,3.5,393.0,1.9,39.0,,34.0
1856,Cashify,3.8,393.0,2.0,23.0,9.0,36.0
1857,Hindusthan National Glass,3.8,393.0,1.9,20.0,,41.0
1858,Cyfuture,3.3,393.0,2.4,30.0,80.0,79.0
1859,N.C.L. Industries,3.9,392.0,1.6,24.0,38.0,40.0
1860,Sterling Holiday Resort,3.9,392.0,1.7,11.0,16.0,59.0
1861,Solara Active Pharma Sciences,3.8,392.0,2.6,27.0,,58.0
1862,Novotel Hotels,4.4,392.0,1.4,14.0,,72.0
1863,Scientific Publishing Services,3.9,391.0,1.8,12.0,,50.0
1864,Danfoss Industries,4.2,391.0,2.5,20.0,13.0,69.0
1865,BLK Super Speciality Hospital,4.1,391.0,1.3,19.0,,40.0
1866,Larsen & Toubro Group,4.1,391.0,1.4,89.0,,54.0
1867,Fena,4.2,391.0,1.3,13.0,7.0,45.0
1868,Dr. Batras' Positive Health Clinic,3.5,391.0,1.1,12.0,11.0,32.0
1869,Trigent Software,3.8,391.0,3.3,39.0,144.0,43.0
1870,Leighton Contractors,4.1,390.0,1.0,8.0,,62.0
1871,National Payments Corporation of India,3.8,390.0,3.0,35.0,74.0,40.0
1872,IDBI Intech Limited,3.7,390.0,2.5,25.0,15.0,51.0
1873,Deloitte Digital,4.0,390.0,2.6,27.0,16.0,60.0
1874,JSW Paints,4.0,390.0,1.9,46.0,3.0,32.0
1875,Healthians,3.6,390.0,1.5,28.0,35.0,28.0
1876,Dineshchandra R Agarwal Infracon,4.2,390.0,1.5,19.0,18.0,36.0
1877,Sasken,3.6,390.0,3.7,45.0,22.0,48.0
1878,TVS Eurogrip,3.8,390.0,1.6,19.0,6.0,34.0
1879,Indecomm Global Services,3.7,390.0,3.3,17.0,11.0,47.0
1880,Moser Baer,4.0,389.0,1.0,7.0,,63.0
1881,Syrma Technology,4.1,389.0,2.0,14.0,1.0,49.0
1882,Reliance Infrastructure,4.1,389.0,2.1,17.0,,62.0
1883,SIS Prosegur Holdings,3.8,389.0,1.1,8.0,2.0,43.0
1884,Acadecraft,3.0,389.0,929.0,46.0,20.0,52.0
1885,South Indian Bank,3.7,388.0,2.4,63.0,,36.0
1886,Reliance Capital,4.0,388.0,2.4,16.0,,76.0
1887,Jorie Healthcare,4.6,388.0,195.0,5.0,5.0,13.0
1888,Carrier,4.0,388.0,2.9,34.0,134.0,45.0
1889,British Council,3.8,387.0,2.3,15.0,2.0,56.0
1890,Usha Martin,4.2,387.0,1.4,14.0,,57.0
1891,Wellness Forever Medicare,3.9,387.0,1.5,29.0,4.0,38.0
1892,Torry Harris Integration Solutions,4.0,386.0,4.5,37.0,38.0,51.0
1893,S P Singla Constructions,3.9,386.0,1.5,20.0,,45.0
1894,Inspirisys Solution,4.0,386.0,3.2,28.0,21.0,27.0
1895,Glenmark Life Sciences,3.8,386.0,3.1,25.0,,47.0
1896,Einfochips,3.6,386.0,3.1,37.0,23.0,56.0
1897,Jiva Ayurvedic Pharmacy,3.8,385.0,1.2,19.0,37.0,52.0
1898,Dr. Reddy's Foundation,4.1,384.0,1.5,38.0,7.0,80.0
1899,Cvent,3.5,384.0,3.8,44.0,89.0,57.0
1900,QHTalbros,3.6,384.0,1.4,6.0,,53.0
1901,Onshore Construction,3.9,384.0,1.7,16.0,,49.0
1902,Lite Bite Foods,4.5,384.0,1.4,11.0,1.0,51.0
1903,Sarovar Hotels & Resorts,4.4,383.0,1.4,8.0,15.0,60.0
1904,North East Small Finance Bank,4.0,383.0,1.5,11.0,,43.0
1905,Navin Fluorine International,4.0,383.0,2.3,21.0,4.0,47.0
1906,Otsuka Pharmaceutical India Private Limited,4.2,383.0,1.6,19.0,5.0,68.0
1907,Carlsberg,4.3,383.0,1.7,16.0,15.0,59.0
1908,QUICK HEAL TECHNOLOGIES,3.8,383.0,2.7,17.0,21.0,54.0
1909,Škoda Auto Volkswagen,4.3,383.0,2.5,15.0,4.0,47.0
1910,Emerson Electric Co.,4.2,383.0,3.1,36.0,239.0,44.0
1911,Universal Sompo General Insurance,3.8,382.0,1.9,15.0,,42.0
1912,Sulzer,3.9,382.0,2.3,18.0,8.0,66.0
1913,Welspun Corp,4.0,382.0,1.7,15.0,,44.0
1914,NLC,4.4,381.0,994.0,16.0,,25.0
1915,Tuaman Engineering,4.2,381.0,1.3,19.0,,41.0
1916,smartData Enterprises,3.5,381.0,1.9,14.0,60.0,41.0
1917,Value Point Systems,3.8,381.0,2.0,16.0,33.0,30.0
1918,FMC,4.2,381.0,1.5,29.0,32.0,51.0
1919,Razorpay,3.8,381.0,3.7,72.0,131.0,45.0
1920,Bharat Biotech International,3.1,380.0,1.8,36.0,,39.0
1921,Tata Power Solar,4.3,380.0,1.8,33.0,,36.0
1922,Paramount Health Services Tpa,3.8,379.0,1.9,21.0,51.0,37.0
1923,Satyam Venture Engineering Services,3.9,379.0,2.6,16.0,91.0,29.0
1924,Acme Generics LLP,4.4,379.0,1.1,7.0,,31.0
1925,Virtual Employee,3.4,379.0,3.1,35.0,8.0,53.0
1926,RealPage,3.8,379.0,3.2,30.0,186.0,53.0
1927,IIFL Home Finance,3.9,379.0,1.6,15.0,10.0,
1928,NICE,3.8,378.0,3.3,32.0,36.0,75.0
1929,Global Autotech,4.0,378.0,2.0,42.0,4.0,46.0
1930,Williams Lea,3.7,378.0,3.1,20.0,38.0,43.0
1931,Ramkrishna Forgings,3.7,376.0,2.0,31.0,1.0,56.0
1932,Glaze Trading India,4.0,376.0,1.2,11.0,1.0,54.0
1933,Transrail Lighting,4.0,376.0,1.8,22.0,3.0,49.0
1934,Venky's,3.7,376.0,1.4,14.0,22.0,31.0
1935,Baazar Kolkata,4.3,376.0,945.0,19.0,,16.0
1936,ExxonMobil,3.8,376.0,3.0,46.0,35.0,64.0
1937,Excitel Broadband,3.7,376.0,1.6,34.0,39.0,27.0
1938,Sanghi Industries,3.7,375.0,2.0,38.0,1.0,52.0
1939,Flipkart Logistics,4.1,375.0,472.0,31.0,,3.0
1940,Cotiviti,4.0,375.0,3.1,41.0,11.0,56.0
1941,SG Analytics,3.6,374.0,2.4,40.0,21.0,52.0
1942,Wissen Technology,4.0,374.0,2.4,53.0,138.0,81.0
1943,GD Goenka Public School,4.0,374.0,1.2,24.0,21.0,46.0
1944,Mahanagar Gas,4.2,373.0,2.2,22.0,,47.0
1945,Wakefit,4.1,373.0,1.6,27.0,46.0,29.0
1946,Axiscades,3.3,373.0,3.1,38.0,13.0,38.0
1947,Prestige Group,4.3,373.0,2.1,19.0,3.0,51.0
1948,McCain Foods,4.3,373.0,1.3,23.0,27.0,48.0
1949,Pearson Education India,4.2,373.0,2.0,4.0,59.0,52.0
1950,Allied Blenders & Distillers,4.1,372.0,1.7,7.0,,34.0
1951,ThoughtWorks,4.0,372.0,4.0,57.0,2.0,48.0
1952,Emaar India Limited,3.7,372.0,2.2,10.0,2.0,39.0
1953,Serum Institute of India,4.3,372.0,2.5,20.0,2.0,62.0
1954,Alight Solutions,4.0,372.0,2.2,15.0,3.0,55.0
1955,Pathkind Diagnostics Private Limited,4.0,372.0,1.5,33.0,4.0,48.0
1956,India Post,3.8,371.0,1.3,15.0,,51.0
1957,Pepperfry,3.4,371.0,1.9,21.0,18.0,44.0
1958,Electronica Finance,3.8,371.0,1.7,22.0,7.0,29.0
1959,Uppcl,4.0,371.0,1.1,6.0,,38.0
1960,Lakme,4.2,371.0,1.5,12.0,7.0,49.0
1961,Gainwell Commosales,4.2,371.0,1.7,24.0,4.0,52.0
1962,ManipalCigna Health Insurance,4.0,371.0,2.2,20.0,,43.0
1963,Kokilaben Dhirubhai Ambani Hospital,3.9,371.0,1.5,16.0,37.0,35.0
1964,Impetus Technologies,3.7,371.0,4.1,46.0,60.0,56.0
1965,F1 Info Solutions Services,3.9,370.0,1.2,12.0,9.0,42.0
1966,TTK Healthcare,4.1,370.0,1.3,10.0,18.0,57.0
1967,Suprajit Engineering,3.7,370.0,2.1,25.0,9.0,54.0
1968,Bridgestone India Automotive Products,4.3,370.0,2.1,19.0,1.0,54.0
1969,Central Bank of India,3.9,369.0,1.1,20.0,,37.0
1970,Ciena,4.5,369.0,2.9,22.0,,61.0
1971,Mavenir Systems,3.8,369.0,3.0,33.0,24.0,50.0
1972,Cox & Kings,3.9,368.0,2.0,5.0,,43.0
1973,Vijay Nirman Company,3.6,368.0,1.1,7.0,,56.0
1974,Marble Box,4.3,368.0,622.0,16.0,,32.0
1975,Sapphire Foods India,4.0,368.0,1.6,15.0,33.0,52.0
1976,Google Operations Center,3.6,368.0,2.4,44.0,,47.0
1977,IDP Education Limited,3.9,368.0,2.2,32.0,42.0,51.0
1978,Inspira Enterprise India Limited,3.8,367.0,2.6,30.0,6.0,48.0
1979,Giesecke & Devrient,4.0,367.0,2.1,12.0,6.0,68.0
1980,Wood Group,4.1,367.0,2.1,33.0,,27.0
1981,DBG Technology,4.0,367.0,999.0,41.0,6.0,39.0
1982,Koch Business Solutions,3.6,367.0,3.5,32.0,76.0,48.0
1983,Tata International,3.8,367.0,2.0,12.0,38.0,63.0
1984,Swastika Investmart,4.4,366.0,1.0,10.0,7.0,13.0
1985,Maharashtra Seamless,3.7,366.0,1.9,28.0,4.0,39.0
1986,Avery Dennison,4.0,366.0,1.8,14.0,59.0,58.0
1987,Blackrock,3.9,366.0,4.2,50.0,,67.0
1988,R.S. Infraprojects,4.0,366.0,1.4,12.0,2.0,64.0
1989,MAHLE Behr India,4.0,366.0,1.2,9.0,,65.0
1990,ANAROCK Property Consultants,3.8,366.0,2.4,30.0,221.0,33.0
1991,Consulting Engineers Group,4.3,366.0,1.3,18.0,28.0,38.0
1992,Rashmi Group,3.8,365.0,1.9,16.0,35.0,42.0
1993,Ryan,4.6,365.0,1.1,14.0,25.0,148.0
1994,Hero Cycles,3.6,364.0,1.8,29.0,2.0,36.0
1995,Andritz Hydro Location India,3.9,364.0,2.4,16.0,15.0,49.0
1996,Fujiyama Power System,3.6,364.0,1.4,33.0,25.0,27.0
1997,Surin Automotive,3.7,364.0,1.9,11.0,13.0,31.0
1998,Yokohama,3.9,364.0,1.9,13.0,,64.0
1999,Gujarat Heavy Chemicals,4.0,364.0,1.5,13.0,1.0,58.0
2000,Sterling,3.9,363.0,1.0,22.0,1.0,61.0
2001,Krsnaa Diagnostics,4.0,363.0,1.1,15.0,31.0,35.0
2002,PC Jewellers,4.0,363.0,1.2,10.0,,30.0
2003,CSG International,4.2,363.0,3.6,27.0,9.0,51.0
2004,Fino Paytech,4.0,363.0,960.0,2.0,,38.0
2005,DB Schenker,4.3,363.0,1.8,12.0,1.0,49.0
2006,Country Holidays Travel India,4.4,363.0,18.0,403.0,,5.0
2007,Nivea,4.4,363.0,1.6,13.0,21.0,52.0
2008,Reliance Life Sciences,3.6,363.0,2.2,12.0,4.0,59.0
2009,Tractebel,4.2,362.0,1.6,32.0,10.0,37.0
2010,Iron Mountain Inc,3.8,362.0,2.7,16.0,5.0,50.0
2011,Kaya Skin Clinic,4.1,362.0,1.2,10.0,17.0,43.0
2012,ICFAI University,3.9,362.0,1.2,17.0,,44.0
2013,Aptech,3.7,362.0,1.8,15.0,1.0,46.0
2014,Aptiv,3.6,362.0,3.7,30.0,17.0,51.0
2015,CWT,4.1,362.0,1.7,5.0,,55.0
2016,Consero Global Solutions,3.4,361.0,2.2,51.0,13.0,26.0
2017,DFM Foods,4.1,361.0,1.5,18.0,16.0,39.0
2018,Bhilosa Industries,3.8,361.0,2.1,16.0,4.0,24.0
2019,Federal Mogul Goetze,4.2,361.0,1.5,14.0,,58.0
2020,Bhilosa Industries,3.8,361.0,2.1,16.0,4.0,24.0
2021,Amri Hospital,4.2,361.0,1.4,16.0,3.0,39.0
2022,Capital Foods,4.0,360.0,1.3,23.0,2.0,57.0
2023,Bharat Fritz Werner,3.8,360.0,1.9,15.0,,48.0
2024,Del Monte Foods,4.0,360.0,1.4,11.0,6.0,54.0
2025,Electrosteel Casting,3.9,360.0,1.8,26.0,2.0,42.0
2026,V.S.T Tillers Tractors,3.7,360.0,1.6,28.0,7.0,41.0
2027,L&T Heavy Engineering,4.4,360.0,500.0,7.0,,44.0
2028,Mars International India,4.3,360.0,1.6,14.0,18.0,53.0
2029,Prime Focus Technologies,3.5,359.0,2.5,22.0,13.0,54.0
2030,BKT Tyres,4.0,359.0,1.9,46.0,3.0,40.0
2031,Ergode IT Services,3.7,359.0,1.4,14.0,54.0,65.0
2032,Toyoda Gosei Minda,4.2,359.0,1.4,15.0,,52.0
2033,Medica Superspecialty Hospital,3.5,358.0,1.5,13.0,10.0,44.0
2034,Muthoottu Mini Financiers,3.7,358.0,1.2,14.0,,13.0
2035,Pinnacle Infotech,3.6,358.0,2.2,36.0,12.0,60.0
2036,Zycus Infotech,3.3,358.0,3.3,43.0,680.0,48.0
2037,Varuna Integrated Logistics,3.8,358.0,1.5,29.0,41.0,41.0
2038,Ramada,4.1,357.0,1.2,12.0,,69.0
2039,Rieter,3.9,357.0,2.1,12.0,5.0,52.0
2040,Hexagon Nutrition,4.0,357.0,1.0,10.0,7.0,143.0
2041,SNS College of Technology,4.9,357.0,91.0,15.0,,123.0
2042,Celebal Technologies,2.6,357.0,2.3,45.0,60.0,14.0
2043,CodeClouds,4.5,356.0,862.0,18.0,1.0,132.0
2044,Supertech,3.8,356.0,1.9,14.0,5.0,37.0
2045,Dusters Total Solutions Services,4.0,356.0,1.4,9.0,1.0,44.0
2046,Senco Gold,4.2,356.0,1.1,18.0,,36.0
2047,Communications Test Design,3.7,356.0,1.3,15.0,3.0,20.0
2048,PayU Payments,3.9,356.0,2.9,23.0,127.0,56.0
2049,Wolters Kluwer,3.9,356.0,3.5,47.0,76.0,58.0
2050,Flamingo Pharmaceuticals,3.3,355.0,1.7,22.0,17.0,37.0
2051,National Bulk Handling Corporation,4.0,355.0,1.2,12.0,19.0,43.0
2052,SPAR Hypermarkets,4.2,355.0,1.4,12.0,10.0,42.0
2053,Amazon Sellers Services,4.2,355.0,900.0,67.0,,74.0
2054,M Square Media,4.6,355.0,297.0,17.0,6.0,25.0
2055,OLX Autos,3.9,355.0,1.3,14.0,,
2056,IKEA,4.2,355.0,1.8,16.0,15.0,54.0
2057,Wissen Infotech,3.9,355.0,2.9,32.0,64.0,61.0
2058,Mahendra’s Institute,3.2,354.0,1.0,6.0,,37.0
2059,RadiSys,4.2,354.0,1.6,28.0,1.0,70.0
2060,Systra Consulting,4.1,354.0,1.6,27.0,41.0,60.0
2061,Alpla,4.1,354.0,1.6,21.0,11.0,64.0
2062,Nash Industries,3.6,354.0,2.2,21.0,4.0,39.0
2063,Debtcare Enterprises,4.4,354.0,240.0,7.0,1.0,80.0
2064,People Tech Group,3.0,353.0,3.3,36.0,83.0,32.0
2065,Srei Equipment Finance,4.4,353.0,1.2,7.0,1.0,50.0
2066,Safari Industries India,4.1,353.0,1.5,14.0,5.0,33.0
2067,Congruex Asia Pacific,3.3,353.0,1.6,35.0,,38.0
2068,PropTiger.com,4.1,353.0,1.5,20.0,95.0,67.0
2069,B. Braun Medical,4.0,352.0,1.5,18.0,2.0,65.0
2070,Matrix Business Services,3.5,352.0,1.7,14.0,7.0,21.0
2071,Commonwealth Bank of Australia,3.8,352.0,3.8,47.0,9.0,51.0
2072,ITI,3.8,352.0,1.5,21.0,,34.0
2073,Schwing Stetter,4.1,352.0,1.8,17.0,138.0,50.0
2074,Mahindra Integrated Business Solutions,3.6,352.0,1.9,21.0,6.0,24.0
2075,Anmol Industries,4.1,352.0,1.4,21.0,1.0,49.0
2076,Udaan India - The Original Visa Company,4.3,352.0,46.0,20.0,,3.0
2077,VirtusaPolaris,3.8,351.0,4.2,12.0,5.0,50.0
2078,HealthifyMe,3.2,351.0,1.4,32.0,45.0,34.0
2079,Kataria Automobiles,3.8,351.0,1.5,12.0,1.0,32.0
2080,Honeywell International India,4.0,351.0,2.5,25.0,,51.0
2081,QX Global Group,3.5,351.0,1.8,45.0,2.0,40.0
2082,Plastic Omnium,4.0,350.0,1.8,20.0,5.0,22.0
2083,RPG Life Sciences,4.2,350.0,1.4,10.0,6.0,51.0
2084,Worldline Global Services,3.9,350.0,3.2,23.0,1.0,46.0
2085,Wipro HR Services,3.3,350.0,2.3,33.0,,55.0
2086,Vimta Labs,3.6,350.0,1.8,24.0,5.0,56.0
2087,Allianz Services,4.3,350.0,1.9,13.0,42.0,49.0
2088,SABIC,4.2,350.0,1.5,21.0,13.0,56.0
2089,Zolo,3.6,349.0,1.9,21.0,139.0,37.0
2090,Subex,3.5,349.0,3.1,19.0,16.0,59.0
2091,Indofil Industries,4.2,349.0,1.8,9.0,,55.0
2092,Writer Information Management Services,3.4,349.0,1.8,19.0,8.0,29.0
2093,Heavy Engineering Industries & Shipbuilding,4.0,349.0,725.0,9.0,,7.0
2094,Pratham Education Foundation,4.3,349.0,918.0,6.0,73.0,48.0
2095,Siyaram Silk Mills,3.9,348.0,1.6,16.0,5.0,43.0
2096,Allegis Group,3.7,348.0,2.9,14.0,98.0,43.0
2097,Honda Logistics,4.0,348.0,1.4,18.0,3.0,48.0
2098,Reliance Jewels,4.1,348.0,1.0,19.0,,48.0
2099,ByteDance,4.3,348.0,2.2,29.0,,56.0
2100,Lido Learning,2.2,348.0,1.8,62.0,14.0,41.0
2101,Outworks Solutions Pvt Ltd,4.2,348.0,1.4,12.0,72.0,13.0
2102,MCM Telecom Equipment,4.0,347.0,1.1,11.0,1.0,41.0
2103,Ssipl Lifestyle,3.8,347.0,1.2,3.0,,34.0
2104,Sanmina Sci,4.2,347.0,2.3,19.0,19.0,54.0
2105,GS Lab,4.0,347.0,3.3,37.0,16.0,38.0
2106,Magic Bus India Foundation,4.0,347.0,1.2,17.0,28.0,51.0
2107,Chemplast Sanmar,3.8,347.0,1.9,25.0,12.0,34.0
2108,Penna Cement Industries,4.2,346.0,1.7,7.0,,31.0
2109,NR Switch N Radio Services,3.8,346.0,1.0,11.0,10.0,33.0
2110,Gupta Power Infrastructure,3.0,346.0,1.7,10.0,,36.0
2111,Mikuni,4.2,345.0,1.4,18.0,,57.0
2112,Voyants Solutions,3.7,345.0,1.5,28.0,71.0,29.0
2113,DATAMARK BPO SERVICE (P) LTD,3.7,345.0,1.2,9.0,7.0,57.0
2114,APL Apollo Tubes,3.8,345.0,1.6,17.0,,22.0
2115,RR,4.1,345.0,47.0,,,5.0
2116,Publicis,3.6,345.0,4.3,38.0,35.0,29.0
2117,Sandoz,4.1,344.0,1.6,12.0,1.0,48.0
2118,Railtel Corporation Of India,4.0,344.0,1.7,15.0,,20.0
2119,Qcon,4.2,344.0,968.0,18.0,,43.0
2120,Vcare Trichology,3.9,344.0,1.5,11.0,11.0,17.0
2121,2COMS,3.7,344.0,1.1,28.0,168.0,31.0
2122,Brainvire,4.0,343.0,1.0,8.0,102.0,239.0
2123,Innominds Software,3.1,343.0,4.1,31.0,66.0,30.0
2124,ITSource Technologies,3.1,343.0,2.4,25.0,6.0,22.0
2125,GTL Infrastructure,4.5,343.0,968.0,4.0,,47.0
2126,Rusan Pharma,3.5,343.0,1.7,13.0,8.0,42.0
2127,Maxop Engineering Co.,4.2,343.0,1.8,19.0,2.0,31.0
2128,Vectus Industries,4.2,343.0,1.4,12.0,4.0,58.0
2129,Gulf Oil Lubricants,4.1,343.0,1.5,16.0,,40.0
2130,Royal Migration Solutions,5.0,343.0,2.0,,,5.0
2131,Orcapod Consulting Services,3.3,343.0,1.6,21.0,101.0,17.0
2132,Ofbusiness,3.1,343.0,1.8,18.0,50.0,21.0
2133,Siemens Healthineers,3.9,342.0,3.0,30.0,4.0,58.0
2134,Enco Engineers Combine,3.8,342.0,1.3,12.0,,41.0
2135,Paharpur Cooling Towers,4.0,342.0,1.6,10.0,3.0,30.0
2136,Trident Hotels,4.1,342.0,1.0,14.0,,66.0
2137,Triumphant Institute of Management Education,3.6,342.0,1.5,8.0,244.0,31.0
2138,Grindwell Norton,4.1,342.0,1.7,20.0,,64.0
2139,Labournet Services,3.9,342.0,1.1,19.0,12.0,52.0
2140,Mazagon Dock,4.3,341.0,1.2,16.0,,34.0
2141,Meghmani Organics,4.0,341.0,2.1,32.0,1.0,33.0
2142,Infiniti Research,3.9,341.0,1.9,21.0,56.0,75.0
2143,Amrit Cement,4.1,341.0,1.1,19.0,10.0,32.0
2144,GAVS Technologies,4.0,341.0,3.9,25.0,25.0,46.0
2145,Texmaco Rail and Engineering,3.9,340.0,1.6,14.0,,45.0
2146,World Network Services,3.5,340.0,2.4,19.0,,2.0
2147,N+A,3.7,339.0,14.7,65.0,28.0,14.0
2148,Trianz,3.7,339.0,3.8,17.0,8.0,61.0
2149,Aker Solutions,4.0,339.0,2.4,22.0,1.0,45.0
2150,National Stock Exchange of India,3.6,339.0,3.3,22.0,1.0,36.0
2151,Ben Franklin Opticians,4.3,339.0,995.0,15.0,4.0,38.0
2152,BYJU'S Exam Prep,3.8,339.0,997.0,17.0,53.0,39.0
2153,Novac Technology Solutions,4.0,339.0,2.7,35.0,88.0,43.0
2154,In Time Tec Visionsoft,4.3,339.0,1.7,12.0,26.0,79.0
2155,CareerNet Consulting,3.7,339.0,3.8,22.0,1.1,54.0
2156,Eli Lilly and Company,4.1,339.0,2.8,28.0,44.0,69.0
2157,Ascent Consulting Services,3.9,338.0,1.6,18.0,13.0,23.0
2158,Evelyn Learning Systems,3.8,338.0,1.0,37.0,1.0,92.0
2159,Agility,4.1,338.0,1.7,9.0,5.0,52.0
2160,Ralson India,3.8,338.0,1.6,22.0,5.0,33.0
2161,Jtekt Sona Automotive India,4.0,338.0,1.2,10.0,,66.0
2162,Home First Finance Company India,3.9,338.0,1.9,32.0,,27.0
2163,Capital Business Systems,3.8,338.0,1.2,16.0,13.0,6.0
2164,Alcon,3.7,338.0,1.9,20.0,36.0,47.0
2165,PureSoftware,3.2,338.0,2.9,30.0,56.0,40.0
2166,Keysight Technologies,4.0,337.0,2.3,17.0,21.0,53.0
2167,Metalman Auto,4.1,337.0,1.7,14.0,1.0,35.0
2168,Narayana e-Techno School,3.6,337.0,1.4,18.0,,24.0
2169,Jaypee Cement,4.2,337.0,1.1,12.0,,46.0
2170,JBS Enterprises,3.4,337.0,1.2,20.0,,40.0
2171,Alankit,3.3,337.0,1.3,15.0,24.0,21.0
2172,Morepen Laboratories,4.0,337.0,1.4,15.0,38.0,39.0
2173,Securitas,3.9,336.0,1.5,20.0,4.0,42.0
2174,Allcargo Logistics,3.9,336.0,1.8,11.0,,46.0
2175,ABCI Infrastructures,3.5,336.0,7.1,28.0,,54.0
2176,RSB Transmissions,3.9,336.0,1.8,17.0,,43.0
2177,Applied Materials,4.0,335.0,3.5,44.0,47.0,64.0
2178,Hafele,4.2,335.0,1.9,20.0,13.0,66.0
2179,Gionee,4.2,335.0,447.0,,,55.0
2180,Numeric UPS,4.0,335.0,832.0,6.0,30.0,4.0
2181,Ingersoll Rand,4.3,335.0,2.1,19.0,31.0,39.0
2182,Franchise India Brands,2.1,335.0,1.6,15.0,24.0,10.0
2183,Juniper Networks,4.1,335.0,3.7,45.0,78.0,51.0
2184,Hettich,3.8,334.0,2.0,18.0,11.0,39.0
2185,Sleek International,3.8,334.0,1.3,20.0,1.0,45.0
2186,Montecarlo Construction,4.2,334.0,1.3,29.0,,47.0
2187,Nowfloats Technologies,3.4,334.0,1.4,13.0,15.0,64.0
2188,Axa XL,3.7,334.0,2.7,23.0,27.0,62.0
2189,Visaka Industries,4.1,333.0,1.5,19.0,8.0,42.0
2190,Galaxy Surfactants,3.9,333.0,1.5,17.0,3.0,62.0
2191,Liberty General Insurance,3.8,333.0,1.6,9.0,4.0,32.0
2192,Essar Group,4.0,333.0,1.7,19.0,8.0,47.0
2193,Descon Engineering,4.1,333.0,645.0,16.0,,62.0
2194,Paul Components,3.8,333.0,94.0,1.0,,4.0
2195,Brembo Brake India,4.4,333.0,1.5,15.0,,40.0
2196,Vidal Health Tpa,3.6,333.0,1.5,14.0,20.0,35.0
2197,ReSource Pro,4.2,333.0,1.5,36.0,14.0,58.0
2198,Indorama,4.1,333.0,1.5,15.0,10.0,39.0
2199,Insolutions Global,3.6,332.0,2.2,14.0,3.0,23.0
2200,UCAL Fuel Systems,3.7,332.0,1.5,6.0,,28.0
2201,Kalyani Technoforge,4.1,332.0,1.6,9.0,8.0,40.0
2202,Ind-Swift Laboratories,3.8,332.0,1.8,11.0,6.0,58.0
2203,Ventura Securities,4.0,332.0,1.4,24.0,24.0,31.0
2204,Royal Orchid Hotels,4.0,332.0,1.3,6.0,8.0,42.0
2205,KnowledgeHut,4.5,332.0,794.0,8.0,6.0,5.0
